标题,昵称,地区,评论内容,情感得分,来源文件
当物理老师在课上突然掏出VisionPro,原地TdP,未知,这个好，我一个物理烂到高二直接不选的都听懂了，给学生直观演示为什么电子必须转整数倍圈数才能经过p点不比直接背公式舒服多了））知其所以然才是效率最高的,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,屑BXE的小号,未知,好是好，就是有点可能会转移注意力[doge]因为有很多学生都没见过这种科技,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Longknobbeltjes,未知,啥玩意 还好我毕业了 现在学的都是啥东西,0.66,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,洛克2330,未知,老師很用心 讚👍,0.87,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,玩家视角,未知,关税战争  贵了不少吧,0.89,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Abinogalactan,未知,等考试的时候掏出Vision Pro现场画图[滑稽],0.89,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,花田茂菊,未知,怎么我高中没这种牛逼老师,0.91,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,可可布朗尼朗布可可,未知,太牛了太牛了太牛了 这样讲这道题一下就懂了,0.75,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,狂草乱剑,未知,quest2便宜,0.64,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,我要做好男神的舔狗,未知,为什么不用国产ar眼镜啊,0.26,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,余-酱,未知,当我反应过来的时候已经讲完了[惊讶],0.9,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,听一首歌开始吧,未知,ar vr 和气象播报，和高中教学领域结合，能水论文了[doge],0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,一个半仙说,未知,我学会了，所以学校什么时候给我配vp,0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Bolbi,未知,学生都笑了，这得多尴尬,0.7,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,地狱歌幽灵,未知,增强趣味性的同时，让难以理解的知识更容易理解，我觉得这个思路特好，@apple官方旗舰好好看看你们产品在其他领域的应用吧~,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,kitneo,未知,我要是有一个这样的物理老师我天天上学学物理,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Yu摇曳-,未知,666这对吗@希戲熙,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,taasd,未知,这是高中题吗？我咋一点印象没有[委屈],0.61,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,有棵满穗,未知,好！现代教育技术课例就用这个了[热词系列_谢谢老师],0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,睿之瑞,未知,我居然在认真听他讲课[笑哭]怀念,0.72,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,生逢遇,未知,类似于配速法,0.82,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,MelodyPhoenix茉莉凤,未知,刷视频，刷着刷着还看了道题[笑哭]，真的给我复习到了，不过这视频也真是吸引人,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,手癌晚期天山w,未知,库克转发了,0.47,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,得罪方丈了还想走,未知,@一波浪险@住在橡树里的猫现在上课已经到这个地步了吗？,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,斯凯沃尔夫,未知,感觉ar或者vr的头显可能还得加上大疆的运动防抖功能，至少别人看能好些,0.69,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,赤黑万万岁,未知,不行，好难，果然我当初200多分的理综物理估计真的没及格,0.01,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,smileleooo,未知,能分析懂的可以自己想象出来螺旋线形运动，分析不明白受力的还是不懂[笑哭],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,江江-Chronia,未知,感觉做一款ar版的slide应该会火[雪狐桑_心虚],0.92,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,理想与天阳,未知,"这个并不是神话。
实际上你买了可能体验也不是最佳，每个人头型不同。
像我，有一次去体验，就戴不上。
当然，能戴上我也买不起。仅体验。",0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,帆布fh,未知,很厉害啊，好羡慕这些小孩子，我以前上课都没有[笑哭][笑哭][笑哭]这些，希望这些功能能够帮孩子们学习天天向上[奋斗],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,古琴投币未遂,未知,VR动捕建模我以前在Autodesk官网视频有介绍过，应该早就实现了。,0.87,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,我偷了谁的萝卜头头,未知,[doge_金箍][doge_金箍],0.73,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,金角灣1453,未知,孩子们的专注和＂哇＂，真的让我想象到他们对知识追求的样子。能带这样一群孩子往前跑，真的是老师很幸福的一件事情。,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Nathanx29,未知,说实话这个用途还是quest 3画画更好，没有手柄画画精度太低了，很难看清字母写的是啥,0.13,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,纵横寰宇琪天帝,未知,天天看大宽老师测评 终于想起来原来是物理老师来着[doge] AR教学互动课堂个人感觉真的很有意思 真的满足了很多空间想象力不行的学生,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,痛不知轻重_泪水鲜红,未知,@bili_25251003612,0.5,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Buz不在,未知,忽然感觉到了科技的力量，莫名泪目,0.98,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,你好阿格力,未知,国产抓点紧吧 这个趋势挺好的 但是不能让美国佬赚钱,0.48,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,玉湖门前的酸橘子,未知,下次也去体验一下airdraw[惊喜][惊喜],0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,冽得皮罗兰,未知,会一款3维设计软件就可以了😏,0.57,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,0871Chen,未知,我怎么感觉怪怪的，电子走在里面为什么是螺旋走的，应该只是单一偏一个方向啊,0.55,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,山花寻鹿,未知,quest3可以吗,0.5,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,nakaluo,未知,抖，视野能有云台加持过的效果会更好,0.85,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,_huayang_,未知,这个讲台看着好难受，这样设计有什么好处吗,0.56,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Mad_guy,未知,"太牛了，听得懂得不能再懂
以后或许真能普及上课用",0.97,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,春去秋来年华又几何,未知,好高级啊，好有立体感讲解[打call],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,摸鱼集团,未知,我们以前小学 5 年级就跟现在高中生差不多，现在的高中生太幼稚了🌚,0.89,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,笑你一脸,未知,只有自己能感受到，每个学生都带一个还差不多,0.85,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,我叫百万鸽,未知,好的，以后我上高二讲结构也这样讲[脱单doge],0.88,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,恶作剧哦哦,未知,@_什么毒蘑菇_ 让lulu也来一个[滑稽][滑稽][滑稽][微笑][微笑][微笑],0.97,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,膨化鸵鸟头,未知,当年的Q2，都吃灰3年了，死恢复燃？,0.08,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,下北泽の馬鹿,未知,三星是不是也可以啊，有个空间涂鸦[脸红],0.06,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,伊布イブ,未知,好多人说效果不理想但我觉得还可以啊，本来就是听课，有不是说要像画画一样看着多美观，能方便理解就可以了,0.59,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,大荒一级废话圣体,未知,职高生不会算，但是用sw模拟可以。,0.83,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,葱姜水暖锅先知,未知,我已经酸变形了🫠为什么十年前没有这种东西,0.3,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,贝方歌子大王,未知,这些物理知识都忘光了，什么左手定理，右手定理的。[笑哭],0.13,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,不等于5,未知,理想上每个同学在家里都戴着一个，老师在家里操作，所有同学通过网络虚拟教室里站在旁边看。,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,哔孒哔孒,未知,下次苹果发布会片头视频给你镜头,0.84,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,祝祀,未知,要不然连接一个笔好了，笔在空间写字，感觉精确度高一些,0.83,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Taden2049,未知,拿这玩意当做三维黑板？思路不错 对做教培软件的很有启发  要低成本实现 可以参考飞鼠做个电子粉笔 可以在讲台贴一些二维码辅助空间定位 这样搞vr国产眼镜估计也能弄出类似效果,0.84,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,乐悠悠6666,未知,这个绝对是有用的，有些孩子不是没有那个空间思维能力，只是不知道该往那个方向去想，对于新课和习题，这样导入肯定是有用的。,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,7S41Tech碎碎念,未知,跟ai 一样，apple vp 需要找到自己的应用场景,0.68,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,FS小作坊,未知,ar用户给您的唯一建议：尽量别抖动[呲牙],0.03,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,白老板的小摩托,未知,格式化工厂的螺丝钉。摧残下一代的职业，果然挣得多[笑哭],0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,穹宇若微,未知,不是。我是不是太早了[笑哭][笑哭],0.96,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,爱吃雪糕的米饭一碗,未知,我一个文科生听的津津有味,0.96,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,鲜甜润滑的橙汁,未知,很有意义 非常直观,0.97,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,盲人摄影师__,未知,不说是不是真的有用，但是我老师如果拿出这个东西来讲这道题，至少这道题我会听着很认真。,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,雨柔喵,未知,应该每个学生配一个头显，这样就不会抖动,0.35,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,4388dawang,未知,苹果老师,0.95,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,隐更,未知,想请教up主，是用什么软件可以画呢？[星星眼][星星眼],0.38,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,百事可乐ccc,未知,那么问题来了，老师多久工资可以买一个这个[笑哭],0.83,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,嶙曦Cryforbaby,未知,酷,0.74,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Async_Er,未知,被年级主任抓到并辅以老年校长助攻就老实了[doge_金箍],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,TG传说,未知,目前还是quest3最入门，和手机差不多价格,0.74,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,洋洋洋洋得义,未知,以后所有人连接脑机在虚拟空间上课，你不只是看和听，你还能去感受。,0.93,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,任律师在北京,未知,有条弹幕说得好，虽然有用但不能让学校采购苹果设备。但可以让学校采购我小舅子的贴牌产品，只需两倍价格,0.96,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,LALALAND-TOFEL,未知,我想到某学校用ds给学生画未来自画像，评论区一阵好评如潮，其实是AI换脸[笑哭],0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,阿华裔-彩祸的礼服,未知,评论区一个个是不是觉得物理课放乐乐课堂就完事了[支持],0.31,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,张半仙来啦,未知,下一堂课要请出思维持学习机了,0.97,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,御坂ソ美琴,未知,就图一乐怎么都还认真起来了,0.66,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Stevenc2232,未知,这个是怎么连接到iPad的上的吧ar的画面投射到iPad上,0.18,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,光明宝,未知,这校服难看到吐，张校长换校服跟把皇马球衣换红蓝条没什么区别，现在她下去了建议赶紧换回来，面料升级一下，颜色就用以前的,0.06,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Victoriawiner,未知,聽到價格就笑不出來了,0.65,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,玄月-白,未知,优化建议：可以加一个后期稳定器，稳定输出画面；选用干净利落的画笔,0.98,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,端茶倒水的嬴政,未知,用是好用，死贵啊,0.4,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,白嫖上5级,未知,@肥驹养老场 酷欸[星星眼],0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,水上_油漆,未知,太贵了哈哈，现在只用的起quest3,0.4,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,玫玫卷死我,未知,其实很多物理知识需要3D图像才能更容易理解[笑哭],0.89,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,曦和_HugoYan,未知,啊？老师的视频一直全凭首页刷到。。。。一直以为是专门做科技区的up，没想到真的是老师啊。,0.85,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Laurie777,未知,要是当年我上课的时候有这高科技就好了[大哭][大哭][大哭],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,dfgh笃实,未知,北京市第五十中学[大哭][大哭],0.78,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,实在不想想名儿了,未知,我们那时候哪有你们这条件啊[星星眼],0.42,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,网络风暴,未知,化学才必要这完意，md我们老师的抽象晶胞没个立体是真看不懂[笑哭][笑哭][笑哭],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,策马驭长风,未知,就我关注到了纤细的兰花指[doge],0.69,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,恩荼琉瓷,未知,一直觉得学生只能在纸上学立体几何太可惜了,0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,熊孩籽酱-,未知,这个世界本来就是3维的，这种教授物理的方式才是最合适的,0.97,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,煮九论个一,未知,什么时候人手一个就更有效果了，可惜目前还太贵[吃瓜],0.64,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,白舟白粥,未知,@爱次珏糖的灵蝶呀 怎么让霍king看到,0.75,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,TTJ39,未知,老师刚刚给我们放了这个视频，然后就刷到了[吃瓜],0.77,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,该昵称仅好友可见,未知,孩子家长：我家孩子怎么上完一场课回来问我要买Apple vision pro？,0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,晓小狗呀,未知,up主要职务是高中物理教师？,0.72,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,阵营硬,未知,00年代初期读的高中，理科，不记得有这种螺旋运动的题目呀，是后面加的么[喜极而泣],0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,2086丷,未知,我第一次看vsp视频起鸡皮疙瘩,0.19,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,凉拌意面,未知,VP的解剖学3D建模挺好的，要是能当教具应该不错，就是没有学校能负担这成本,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,PlutoMirage,未知,这里头有一个初中生年龄的我高低吃点啥,0.27,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,临川忘世-,未知,我自己上学时还没有这些，当时老师就用一些建模软件或者做个简单的flash动画等,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,要看270爆衣,未知,我要是学生可能得看个两三遍才会把注意力集中在题目上，哈哈，太新奇了。同时感叹自己运气挺好，这种题型能以这种方式学习到。以后教育越来越轻松向是最好了，有限的时间能掌握更多的知识。现在小孩是真不容易，题目越来越难了。,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,来b站蹭课的people,未知,[喜欢][喜欢]好厉害的物理老师会物理还会数码[喜欢],0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,笑死苯,未知,配速法那,0.8,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,别逼我求你123,未知,"我们学校白板都不是希沃的，你没听错，用的一个不知名牌子，你猜这个运行内存多少，4g，啥都不开，开视频都一卡一卡的，牛吧
落后地区的教具，我这样说，我去领的圆规，一端用的塑料，钉不住，所以我都是徒手画圆，但是徒手有个坏处，同心圆画不了太多，所以我最近搞了一根绳子[藏狐]",0.03,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,M胡桃,未知,高中结构化学也该推广用chem3d 和materials studio不然太抽象了,0.89,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Stevenc2232,未知,我都喜欢这个苹果头显配上我的iPad直接投到投影仪上这种感觉超酷,0.96,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,178BQ,未知,如果黑板在老师和学生之间就好了， 老师面对学生和黑板， 学生面对黑板和老师，这如何实现呢 [蹲蹲],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,reganto,未知,感受到了第二套广播体操—时代在召唤[笑哭][笑哭][笑哭],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,莫西喜欢吃辣酱,未知,我高中的时候学了一手叉乘，后面这种题真的很简单，老师你也可以教一手我感觉[思考],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,余後_,未知,"有一说一，这可以是课堂的一种发展方向。特定的教室装备整体设备，使得教师可以在空间内书写，而学生通过其它设备更为直观的、身临其境的观看到教师所表达的内容。同时科普片制作者也可以往立体视频发展，使得科普的内容更为直观。
不过也能发现的问题是，表达者和倾听者所在视角不同，表达的内容仍会导致“被遮挡”",1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,研王爷_,未知,三万块的东西，其价值慢慢就体现出来了，设备核心就是两块超级牛的屏幕和两颗超级牛的处理器,0.95,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,yt_monkey,未知,比较像太阳在绕银河系运动的曲线。,0.88,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Movielover4103,未知,哇塞，竟然是个高中物理老师吗？怎么还有时间做那么多数码测评的呀[笑哭][笑哭][笑哭],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,超音速拖拉机,未知,这很直观诶[星星眼][星星眼][星星眼],0.77,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,searcher666,未知,经典我们小时候哪有你现在这个条件,0.92,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,卷毛小艾,未知,这是今年我看到最有用的使用场景[doge_金箍],0.93,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,liyufc,未知,对于三维空间感不好的同学确实很直观,0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,十年份的猫猫,未知,这老师真有钱啊，有个能赚钱的副业就是不一样,0.49,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,里卡多兰特,未知,老师，我想看看红军长征怎么走的，我想学[呲牙],0.9,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,肥胖的多多,未知,还记得十年前大宽老师用平板讲课的时候[doge],0.97,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Simon1356,未知,这个可是真好,0.66,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,橙子v薯片,未知,像我这样晕3d的人，一会儿就要吐了,0.05,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,一锅炖了小黄鱼,未知,看封面以为是visionPro辅助瞄准扔粉笔头[哦呼],0.54,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,明白地糊涂,未知,苹果头显3万块钱，不是一般学校能负担的。所以推广应该是rokid Air LITE AR眼镜，总共才5499，跟iPad mini 7 256GB版一个价,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,D4ch1k,未知,如果输出到屏幕上能防抖就更好了,0.27,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,_雨中黄叶树,未知,“我们那时候，哪有你们这样的条件”[难过],0.62,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,a九玄,未知,"哈哈哈哈老师这波降维打击直接把黑板整不会了！用VisionPro把洛伦兹力掰开揉碎做成3D动画，这届学生居然能在物理课上玩全息建模？当年我的老师要是这么教，现在早该在清华研究曲率引擎了！顺便问下大宽老师，您这AR教案能导出到我的脑皮层吗【狗头】""",1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,黄子钊N11NZS,未知,"你的老师
我的老师
好像不一样",0.95,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,一只莓莓露呀,未知,我在猜ip的挑战中获得了0.3秒的好成绩，你也来试试吧！,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,白色的铅笔,未知,@琛在天下 老师老师，你会这招吗？[doge],0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,bili_78396359785,未知,其实就是跟学生们炫耀一下我有vision pro你们没有，羡慕吧羡慕吧略略略[调皮],1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,合成大芝麻2022,未知,🤣因为想展示，所以有道题同学们解不开,0.98,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,春日野紗霧,未知,领导问你为什么不用华为,0.41,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,沅陵笑笑生,未知,"[笑哭]其实AR就能做到
比如三星就行",0.79,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,炸鸡1024,未知,终于更新物理了,0.28,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Jessica_Mwz,未知,明天讲24年湖南卷视频借用了[抱拳][抱拳],0.33,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,CH3COOL,未知,有趣的概念，但以当下的条件实用性尚不足，未来可期,0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,TTDDTOD,未知,学医四年 好奇点进去结果听懂了[辣眼睛] AR太神奇了,0.8,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,一个Steve,未知,初中生试图理解[doge_金箍],0.83,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,超級大帅哥-,未知,掏手枪也可以让学生提神的[doge],0.71,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,八百八十二,未知,教育资源差异化[笑哭],0.97,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,抱緊我的手機,未知,老師你在那間學校，我在台灣，甚麼時候才有這樣的有趣的物理老師啊,0.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,时间烧开水,未知,顶级教具，建议学校报销[doge],0.99,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,MarianaUI,未知,我们学校有专门的vr室，几十台，放着从来没用过[藏狐],0.96,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,改柯易叶I,未知,为什么是大拇指和中指画画[思考] 不能食指吗,0.92,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,持义,未知,我素未谋面的老师,0.89,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,VYYVYYYARC,未知,三维小模型就行了,0.87,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,喜爱音乐的地铁迷Subway,未知,太帅了！！！[打call][打call][打call],0.4,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,洛璃花瑶,未知,现在高中课都有这待遇了吗，一种未来的教学方式导向,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,刘仙启,未知,不是，我都大学了，居然看完了[笑哭],0.87,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Stanley尼夫斯基,未知,看久了都忘了自己是来看眼镜的，[喜极而泣][大哭]我不是来上课的老师,0.97,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Azulw,未知,看到螺旋线发现去年做过类似的，已经全忘了[笑哭],0.97,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,澪憬,未知,真不错，要是能在投屏显示的时候，实景图变为3维白盒就更好了,0.4,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,C6un,未知,第一次上课头晕想吐,0.71,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,沉默十月,未知,太对了太对了，就是这个。我感觉我从小空间几何的构想能力很强。当VP发布的时候，我就知道应该有这种场景。它提前半年发布，就是看全球的开发者能能搞出来什么新东西。现在VP 依然还是性能最强的VR眼镜，只是它缺乏软件。就好像拿4090玩俄罗斯方块,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,银丨琥珀,未知,我也是物理老师，真的棒，未来真可以期待,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,成了助恶大善人,未知,最好以黑板为背景画3D，背景太乱后排同学看不清的。偶尔来着一下肯定很有意思，毕竟公式、平面图天天看天天做。,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,楞个乖的小郎,未知,第一[星星眼],0.58,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,makiまきbai,未知,[doge]我就说还得是学物理的会搞事,0.37,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,梨花千树灬,未知,"同物理老师
太棒了，堪称伟大。
尤其对物理不好的孩子们来说",1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,枯木逢春yyyyy,未知,太厉害了👍开拓了物理课新模式！AR物理课始祖鸟[打call],0.44,B站vr课堂评论数据1.csv
