当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,麦当,江苏,虽然但是你为什么要把车停在路口中间[微笑]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,拆-小麻花,江苏,麦当劳狗都不吃
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,知足常乐,广西,四千多？[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,北幕南辞,河南,这个是glassess吗
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,旺到飞起,广东,哇噻，有没有像龙珠的赛亚人战力眼镜显示战斗力是多少吗？[尬笑][尬笑][尬笑][捂脸][捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,苏ㅤ,广东,碉  小米1999的都没这功能
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,大爱仙尊,云南,不是哥们，你把电动车停到路口
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,再叹故知,广西,送外卖也是不错的选择
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,梦菲儿,江西,这有什么用？纯属猎奇
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,名字不唯一,广东,效果很棒，可惜不是真的
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,梵㣺,重庆,既然停中间马路
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,start,北京,路人‹这个人在说什么[看]›
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,RE…,广东,还是不够方便，有没有意念传输指令的，用嘴说太累人了
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,我太想躺平了,广东,汕头小公园？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,SQ鲨鱼🦈,广东,真的假的[微笑]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,累,四川,这个眼镜能不能改成彩色的字母啊
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,社会主义接班人,广西,全都是需要花钱的项目，有没有能挣钱的？  就像，请导航让我今天挣500块。
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,冰啤酒猫,辽宁,我想要这种带字幕的眼镜 得需要多少钱[思考]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,广东牛马-哆啦A梦,广东,乐奇，给我搜索单身女孩子[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,H.T.Z0549,江西,真的吗
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,korever,河南,@P Jue @在劫难逃 [发呆]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,胡八七,上海,佛陀弥阿
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,胡八七,上海,尊天量无
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,什么,广东,自言自语
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,十荒,广东,叫她帮忙送外卖会不会直接烧了[大笑]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,___ Sunshine,福建,第三个不能吃，吃了会拉肚子[捂脸]别问我为什么知道
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,Tian美心情,江西,SSS
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,R.,江苏,@那又怎么样 好高科技
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,达不溜C,广东,脑机接口成熟之后，语音都不需要了。
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,理想,山西,你就把车停在大马路上？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,土色马卡龙,广西,我不信[捂脸]那么远扫得到二维码
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,大浪,江西,建议乐奇眼镜设计开通一个“社交模式”，开启后，可以记住新认识的朋友，也可以自动识别并在屏幕上显示老朋友姓名（特别是很久不见一下子叫不出姓名的朋友）。如果有这个功能，智能眼镜实用性将会再上一个新台阶！
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,佳维康特纸刘松,广东,这才叫智能眼镜，不是那些什么蓝牙眼镜就叫智能
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,知秋一叶🌿   　　　　　╲,广东,[大金牙]走到他旁边对着眼镜说：这栋楼多少钱，买下来，确认支付。
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,梦求真...,重庆,乐奇，打开创造模式[憨笑]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,福建人,福建,[赞]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,🎶,湖南,牛啊
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,Spiker...🍊,辽宁,谁能懂啊，以后大道上的每个人都神神经经的[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,我不是QQ,河南,@我不是土豆 好高级
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,零,广东,把车横在路中间也是服了
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,洋.,河南,@ikun [赞]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,北栀,河北,你确定在这停车？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,바보야XOXO,河南,@陳少 我去我去我去
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,汕头市长辉建材,广东,这个眼镜真的假的？？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,钟爱小甜❤,河南,共享单车就直接放路中间了？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,勇哥😎,广东,你活着的意义是什么？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,🐹,广东,@今天你开心了吗 [泪奔][泪奔][捂脸][笑哭]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,十月,上海,rokidglasses，买了跟着功能相差有点大[流泪][流泪][流泪]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小呆呆,江西,就停在这里？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,黎沛逸,广东,[尴尬流汗]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,游手好闲的张大官人,海南,当初看刀剑神域带AR眼镜模拟真实现场的时候，我就猜到了以后眼镜会逐渐代替手机，因为它更方便人们携带[呆无辜]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,撬翻指甲盖,江西,你就这样停在马路中间？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,JJRr,福建,去过了
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,八九不离十,河南,多少钱啊
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,醒醒,河北,这个叫什么眼镜，多少钱买的？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,昌北飞车手,重庆,这个眼镜能配度数吗？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,杨弘道,河南,宿主？[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,傑,山西,大概就是这玩意[暗中观察]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,随煜而安,江西,乐奇，她的联系方式是多少
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,541844,河南,解锁这台车
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,Penguin,广东,这个啥时候可以买
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,幕芷,广西,你是把车锁在路中间吗？[绝望的凝视][绝望的凝视]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小小陈,广西,@只想要钱钱 我去  能不能叫他把钱转来我微信里[偷笑]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,在曼谷的春,江苏,路人：你一个人在这里自言自语啥呢
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,飘洋过海来看世界,广东,什么时候眼镜能成为导航地图使用啊
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,武汉高多余,湖北,为啥把电动车停在马路中间[尬笑]？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,羡三岁de兔兔,江西,@紫薯包 ？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,82 年的可乐,新疆,乐奇，显示对方的战斗力
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,飘移,浙江,近视眼怎么办
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,冰激淋,浙江,用着最先进的装备 做着最辛苦的牛马[笑哭]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,自由之风,江西,乐奇、这是哪座山[看]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,嗯呐,广东,m记竟然被叫，穷鬼套餐[抠鼻][抠鼻]有钱人。。
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,清逸居士,广东,给链接
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,呼呼大睡,福建,乐奇，把元宇宙小灰钱包里的钱都转到我这里
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,全世界都炸了。,广东,@
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,ai陈,上海,@陈77_Cc_Rosanne [紫薇别走]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小鱼,贵州,出来了吗！好想买[看]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,美慈,广东,哪里有这种眼镜，我想捡一副绑定100万支付宝余额账号的
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,山海.,江苏,你把车停车到路口中间，罚款[尬笑]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,下次梘～,陕西,乐奇这家足浴店正规吗？[九转大肠]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,奶龙骑马戰关公,山东,锁路中间了吗🤔
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,二爷月白🎨,安徽,还有人记得那个……雀润[泪奔]…吗
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,旧颜˚*̥(∗*⁰͈꒨⁰͈)*̥⭐,甘肃,滴滴青桔我们这边也有
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,地主哥6啊,广东,m记是穷鬼套餐？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,我在人间贩黄昏,广东,麦当劳便宜？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,发烧渔,天津,上线后不是这样的法院见
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,☃️,陕西,你这车就锁马路中间啊
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,@西风^xf^,广东,原来吃肯德基的都是。。。
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,米米虫的饭桶,陕西,乐奇导航去八块腹肌的帅哥面前[可怜]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,拆弹专家,重庆,这电动车就停马路中间了吗
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,昵称,广东,可能……作为一个社恐，我会觉得有点尴尬[宕机]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,树苗,广东,不是，你直接把车停在十字路口中间啊
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,12.,浙江,柯南
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,✨小橘,广东,青桔:哈喽?
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,魏莱不是来,广西,把车停在马路中间
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小唐唐,广东,这个很棒啊，我是一个盲人，未来以后，有这个的话，只要一句话的事情，出门就不怕了，就怕出去外面太复杂，或者太吵的地方会不会不太好用呢？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,木一,山西,在路上 自言自语[泣不成声]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,阿吉,广东,华人牌2060款手机傻妞为您服务！请输入开机密码。
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,妲己,广东,麦当劳不是汕头么。我去一次。认得
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,备忘录”,河南,你停车停大马路上啊
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,多年以后的故人,上海,如果这个量产，肯定火
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,满满,江苏,这个乐奇真文明，怎么还能停在马路中间？[看][看][看]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,普通三刀流,河南,牛逼啊
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,悲伤GG爆☄💨,广西,好高级啊[发呆][发呆]@美女的心乱₇₈糟
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,@艳艳,上海,对于无法一心二用的，会不会因为看字撞柱子[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,无名先生,云南,1分钟从71个电掉到58啊
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,菲岛 第一深情,菲律宾,目前应该还不可能那么顺畅，只会告诉你请连接网络
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小李讲故事,山东,这是真实生活还是 aR 世界
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,迎风破浪,广东,你车干嘛停在路中间[微笑]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,HHHH,广东,不是就停在马路中间啊
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,走了走了,河南,有点儿费嘴[黑脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,lnvi,云南,好家伙直接停路中间了[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,minul,广东,宿主是吧？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,刘先生༢,陕西,你就给车停马路中间？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,菀妤々,贵州,@豆浆里没有豆奶 @*-* @bbbbbb6 @🍀🌴⭐ [色]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,云朶小铺,内蒙古,[抠鼻]我的已经发货了…收到货、跟你上面的不一样…我就退货！
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,有点点,广东,车锁十字路口中间？？？？？[九转大肠]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,王大爷,广东,乐奇启动自毁程序[奸笑]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,愈,广东,把车停马路中间[憨笑]？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,过期的波比,广东,靓仔，想买一个这样的眼镜@百变知世💫
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,日落🌇之辉,广东,只电车放路中适合么
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,😇,湖南,锁路边？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,追求道法自然,广东,机哥牛逼
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,糖炒栗子,河南,@魚 @桀桀桀桀桀桀桀桀桀桀 @渝欢 @小小昭 乐奇把我房子变成小别墅 乐奇把耀文 梓渝带来
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,ant,安徽,@阿萨姆奶家老茶 好高级
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,听风就是雨,辽宁,主播，什么时候开售
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,🌬️,北京,你把共享单车停马路中间啦
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,想忘记,广东,凭什么他不戴头盔也能开
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,渐暗,四川,我相信这个眼镜能有，现在ai发展迅速肯定买一个来玩玩[求求了]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,🌈涅槃重升,湖北,乐奇，附近哪有红灯区[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,哈密瓜🍈,广东,rokid官方都不知道他们的产品有这么牛批[捂脸][捂脸][捂脸]销量这么好你有一半功劳[偷笑][偷笑][偷笑]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,璀璨心河,江西,
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,酷酷东,广东,好吵
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,禁.,江西,@偏偏不逢雪落 @用户5621520603158 @回忆零碎心跳 @懒懒困魚 @倾妘 @折痕^ 真会停车[黑脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,顾,广东,F上车3456切枪换火箭筒[看]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,陳.⁵²⁰,湖北,@QIQi 真的想买啊[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小陈陈陈,辽宁,以后大街上自言自语的人越来越多了[发呆]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,拉屎出丝扯不断藕断丝连霸气强吻小奶便,广西,可以找题吗，别人能看见字吗，我大学期末考试可能有点需要[九转大肠]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小灰的神奇眼镜,广东,这不是rokid吗
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,哎呀榛好🌰,辽宁,车停路中间不会有影响吗[疑问]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,番茄鱼㋛,新疆,@三七²¹ 丢又一个大街上自言自语的人
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,半只橙,广西,别人看到你自言自语[捂脸][捂脸]会不会以为你看到了不干净的东西
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,孫_12,广东,世界上又多了一个自言自语的人
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,愿每天都开心的懒羊羊大王,广东,这是那款眼镜
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,KevinC,广西,做个生活游戏可以
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,枫の殇,云南,麦当劳居然属于穷鬼系列[尬笑]看来我连穷鬼都不算[抠鼻]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,潘员外有十亩地,浙江,乐奇官方:我们怎么不知道有这么溜的功能，到时候退货率高了怎么办？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,了无痕,河南,没发现电池不耐用吗？？1.8公里就用百分之13的电量
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,ଲ我怎么睡不着,广西,乐奇去厨房给我炒两菜
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,雾月纪事,浙江,像我这种社恐不喜欢自言自语怎么办
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,玉米蛋挞,广东,哇，你锁路中间
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,杨守工台湾车轮饼,江苏,你果然是编码
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,まだ,辽宁,那高考怎么办[尬笑]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,Whenever,北京,以后马路上一堆人自言自语
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,帅气的那路多,山西,停马路中间太缺德了。
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,🐆,河南,你就在马路中间锁车啊[鄙视]@广东交警
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,心想事成,浙江,感觉这个眼镜适合路痴的人送外卖[舔屏]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,喵咖,广东,你们又偷偷进化，又不告诉我
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,●-ʕ•̫͡•ʔ-●,广东,这个是真的吗
